,imageName,cluster,ecc,sol,cmp,color,spd,per,cellSize
2,M0,0,0.63303611,0.937864644,0.822664682,r,0.204413177,0.493193942,6430
5,M0,0,0.381462549,0.985695947,0.999882662,r,0.261237508,0.264099829,5375
8,M0,0,0.485625696,0.970250275,0.930438199,r,0.154252785,0.233402259,6164
16,M0,0,0.571610687,0.921369753,0.757428396,r,0.332901444,0.198414012,9175
17,M0,0,0.334099397,0.981649961,0.968352465,r,0.262769277,0.273537254,6366
18,M0,0,0.387061646,0.984653161,1.005087227,r,0.089878017,0.341484506,3208
19,M0,0,0.613577911,0.975927968,0.950180086,r,0.183692238,0.068578612,5311
20,M0,0,0.381671274,0.987514863,1.000754416,r,0.31302696,0.116068147,4983
23,M0,0,0.496676617,0.937659945,0.820561704,r,0.453792389,0.082307688,9160
24,M0,0,0.623855552,0.972031403,0.922978328,r,0.262085717,0.116771263,5943
28,M0,0,0.478884623,0.978504973,0.964098859,r,0.205176338,0.240712109,6100
29,M0,0,0.321717834,0.936754608,0.84827366,r,0.1732365,0.081062511,5184
30,M0,0,0.603403237,0.966382917,0.870504642,r,0.177093727,0.088492189,6698
31,M0,0,0.54961187,0.92230444,0.772756451,r,0.316257252,0.059270934,6980
32,M0,0,0.518630252,0.961242017,0.94062689,r,0.179668074,0.203591973,4365
33,M0,0,0.333023781,0.966477273,0.874713114,r,0.185630567,0.166717535,6804
34,M0,0,0.423751011,0.982340785,0.879980805,r,0.478521506,0.03789882,5229
35,M0,0,0.61129529,0.982662539,0.896197451,r,0.221050552,0.112716989,4761
40,M0,0,0.515309154,0.963159134,0.91736831,r,0.252250619,0.211438894,8183
47,M0,0,0.568950759,0.977181974,0.933982692,r,0.287448633,0.050074789,5139
49,M0,0,0.55830525,0.95614318,0.862816782,r,0.323597267,0.106643702,5930
50,M0,0,0.705199633,0.972040347,0.914942593,r,0.21598554,0.167173591,5493
55,M0,0,0.604014165,0.969303424,0.821056034,r,0.27747535,0.13196591,4926
59,M0,0,0.370865102,0.956564297,0.9107657,r,0.248159858,0.115892492,7818
63,M0,0,0.498755415,0.987595712,0.994836467,r,0.259526494,0.365982559,6449
65,M1,0,0.521713058,0.964304647,0.893804057,r,0.398252164,0.130473884,10914
71,M1,0,0.558563815,0.879578474,0.710705202,r,0.611645159,0.131247842,17194
76,M1,0,0.616475744,0.985011933,0.960712148,r,0.461998326,0.155438502,10318
77,M1,0,0.491805716,0.975829022,0.921357274,r,0.369771381,0.07297161,11506
79,M1,0,0.430458881,0.972477825,0.897137129,r,0.245220009,0.055529992,11731
83,M1,0,0.518032303,0.910836117,0.660857835,r,0.305929201,0.207816197,19358
90,M2,0,0.459253098,0.945587259,0.859086093,r,0.225385042,0.7925648,17100
96,M2,0,0.608963205,0.918021398,0.798702349,r,0.188982229,0.23092539,13214
7,M0,0,0.743861028,0.921405501,0.756245028,b,0.373992374,0.159126106,9414
12,M0,0,0.792821851,0.826936661,0.533262041,b,0.246920761,0.172906816,7024
13,M0,0,0.79496688,0.903583702,0.603554845,b,0.205622981,0.120959295,9203
21,M0,0,0.804742433,0.880325723,0.602386637,b,0.390526406,0.204673503,12108
22,M0,0,0.893951933,0.920637485,0.676243334,b,0.194173528,0.365399261,17099
26,M0,0,0.67505113,0.923187085,0.776086376,b,0.431793616,0.149798766,7091
38,M0,0,0.617417527,0.890666667,0.69998455,b,0.311803316,0.090133306,7014
42,M0,0,0.864662975,0.86961474,0.610659846,b,0.607620393,0.165617059,12979
43,M0,0,0.762759818,0.812523388,0.576961832,b,0.215565777,0.092036642,6514
44,M0,0,0.813414988,0.967274737,0.825782703,b,0.243265135,0.208355601,8749
45,M0,0,0.747043152,0.924849893,0.690167435,b,0.24531064,0.122562695,4775
48,M0,0,0.788646663,0.883522727,0.601598349,b,0.202182273,0.325077988,7775
51,M0,0,0.864876699,0.912874368,0.588900063,b,0.216137337,0.23437328,2347
52,M0,0,0.835761734,0.883423112,0.676673074,b,0.316824229,0.505009718,8692
54,M0,0,0.784448777,0.974486715,0.873273498,b,0.249133534,0.290132369,6455
56,M0,0,0.770430949,0.981173865,0.798008908,b,0.286146996,0.145040365,3544
58,M0,0,0.853575718,0.909859678,0.669021791,b,0.181975386,0.265726813,9791
66,M1,0,0.834066763,0.885082122,0.667353124,b,0.310065533,0.209638552,16921
84,M1,0,0.70055221,0.93013044,0.63325912,b,0.504857324,0.070177491,14404
86,M2,0,0.779645875,0.907085816,0.715881769,b,0.171580592,0.132652745,7156
89,M2,0,0.736939581,0.942245588,0.784899548,b,0.24188805,0.635386833,12546
94,M2,0,0.758171455,0.946566524,0.780756045,b,0.24625757,0.488356239,13233
95,M2,0,0.889543374,0.91460769,0.61555114,b,0.43405113,0.489465427,15177